title,projectname,builder,price,per_sqft,area,status,place,rating
Residential Plot,Alekhya Amara County,Alekya Infraa Developers,3120000,"1,777 / sq ft",1755,New,Aroor,0.0
Residential Plot,Alekhya Amara County,Alekya Infraa Developers,2880000,"1,777 / sq ft",1620,New,Aroor,0.0
2  BHK  Apartment,,Maaruthi Group,3700000,"3,700 / sq ft",1000,Ready to move,Pragathi Nagar Kukatpally,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,13600000,"6,640 / sq ft",2055,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,13600000,"6,640 / sq ft",2055,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,11900000,"7,503 / sq ft",1600,Under Construction,Attapur,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,46300000,"12,000 / sq ft",3865,Under Construction,Bachupally,0.0
3  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,9546000,"5,599 / sq ft",1705,Under Construction,Kompally,0.0
4  BHK  Villa,,seller,30000000,"9,490 / sq ft",3161,Under Construction,Manneguda,
4  BHK  Apartment,Cybercity Rainbow Vistas Rock Garden,seller,24600000,"9,148 / sq ft",2695,Ready to move,Hitech City,
3  BHK  Apartment,Sukhii Ubuntu,Sukhii Group,12900000,"7,599 / sq ft",1710,Under Construction,Nanakramguda,0.0
3  BHK  Apartment,Risinia The Edge,Risinia Builders,9581000,"5,199 / sq ft",1843,Under Construction,Pragathi Nagar Kukatpally,0.0
2  BHK  Apartment,Engineers Sri Tirumala Millennium Phase III,Engineers Associates Pvt Ltd,5083000,"5,003 / sq ft",1017,Under Construction,Mallapur,0.0
1  BHK  Apartment,Provident Kenworth,Provident Housing Limited,4800000,"7,869 / sq ft",610,Ready to move,Rajendra Nagar,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sri Aditya Squares,17500000,"5,500 / sq ft",3183,Under Construction,Ramachandrapuram,0.0
4  BHK  Villa,Grenstone Siri Elite,Grenstone Infra,15900000,"5,199 / sq ft",3060,Under Construction,Maheshwaram,0.0
Residential Plot,Alekhya NSR County Phase II,Alekya Infraa Developers,4125000,"2,777 / sq ft",1485,New,Sangareddy,0.0
Residential Plot,SSR NSR S Hill County,Alekya Infraa Developers,5000000,"2,777 / sq ft",1800,New,Bogaram,0.0
3  BHK  Apartment,Hallmark Skyrena,Hallmark Builders,16000000,"7,099 / sq ft",2255,Under Construction,Narsingi,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,13000000,"6,658 / sq ft",1955,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,13000000,"6,658 / sq ft",1955,Under Construction,Manchirevula,0.0
2  BHK  Apartment,ASBL Springs,ASBL,5685000,"4,699 / sq ft",1210,Under Construction,Pocharam,0.0
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,11000000,"5,500 / sq ft",2010,Under Construction,Jeedimetla,0.0
3  BHK  Apartment,IRA Aspiration,Ira Reality,11800000,"5,399 / sq ft",2195,Under Construction,Kollur,0.0
3  BHK  Apartment,IRA Aspiration,Ira Reality,8070999,"5,399 / sq ft",1495,Under Construction,Kollur,0.0
2  BHK  Apartment,,Maaruthi Group,5600000,"5,045 / sq ft",1110,Ready to move,Pragathi Nagar Kukatpally,0.0
4  BHK  Independent House,Aliens Space Station,M Kartheek,25600000,"7,199 / sq ft",3569,Under Construction,Tellapur,0.0
3  BHK  Apartment,Aliens Space Station,M Kartheek,12100000,"7,199 / sq ft",1687,Under Construction,Tellapur,0.0
3  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,9742000,"5,599 / sq ft",1740,Under Construction,Kompally,0.0
3  BHK  Apartment,Vajram IXORA,Vajram Constructions,13600000,"6,499 / sq ft",2095,Under Construction,Gopanpally,0.0
3  BHK  Apartment,Vajram IXORA,Vajram Constructions,16100000,"6,499 / sq ft",2485,Under Construction,Gopanpally,0.0
3  BHK  Apartment,Hallmark Treasor,Hallmark Builders,17300000,"8,499 / sq ft",2040,Under Construction,Gandipet,0.0
4  BHK  Apartment,Hallmark Treasor,Hallmark Builders,34600000,"8,499 / sq ft",4080,Under Construction,Gandipet,0.0
Residential Plot,Alekhya NSR County Phase II,Alekya Infraa Developers,4875000,"2,777 / sq ft",1755,New,Sangareddy,0.0
2  BHK  Apartment,,Maaruthi Group,5400000,"4,518 / sq ft",1195,Ready to move,Pragathi Nagar Kukatpally,0.0
2  BHK  Apartment,,Maaruthi Group,3700000,"3,700 / sq ft",1000,Ready to move,Bowrampet,0.0
